实体ID,实体名称,实体类别
11937,雅施达,Drug
11938,密钙息,Drug
11939,糖适平,Drug
11940,波依定,Drug
11941,百赛诺,Drug
11942,利拉鲁肽,Drug
11943,加斯清,Drug
11944,琥珀酸美托洛尔,Drug
11945,代文,Drug
11946,唐力,Drug
11947,格列奇特,Drug
11948,利可君,Drug
11949,甘精胰岛素,Drug
11950,诺和锐30,Drug
11951,呋塞米,Drug
11952,酚卞明,Drug
11953,氯化钾,Drug
11954,拜唐苹,Drug
11955,卜可,Drug
11956,达美康,Drug
11957,倍博特,Drug
11958,双环醇,Drug
11959,阿法骨化醇,Drug
11960,兰索拉唑,Drug
11961,益肾丸,Drug
11962,安比丁,Drug
11963,捷洛维,Drug
11964,拜糖平,Drug
11965,尼莫地平,Drug
11966,溴隐亭,Drug
11967,舒可捷,Drug
11968,安内真,Drug
11969,美能,Drug
11970,雷替斯,Drug
11971,易善复,Drug
11972,胰岛素,Drug
11973,达格列净,Drug
11974,欧唐静,Drug
11975,安博诺,Drug
11976,法能,Drug
11977,倍他乐克,Drug
11978,非布司他,Drug
11979,捷诺维,Drug
11980,碳酸氢钠,Drug
11981,甲钴胺,Drug
11982,导升明,Drug
11983,钙尔奇,Drug
11984,缬沙坦,Drug
11985,金水宝,Drug
11986,秦苏,Drug
11987,长秀霖,Drug
11988,苯磺酸氨氯地平,Drug
11989,瑞易宁,Drug
11990,敏使朗,Drug
11991,优泌乐,Drug
11992,醋酸氢化可的松,Drug
11993,捷诺达,Drug
11994,诺和灵N,Drug
11995,水飞蓟素,Drug
11996,唐林,Drug
11997,阿发骨化醇,Drug
11998,美卡素,Drug
11999,友来特,Drug
12000,沐舒坦,Drug
12001,压氏达,Drug
12002,怡开,Drug
12003,诺和灵50R,Drug
12004,利加隆,Drug
12005,弥可保,Drug
12006,黄葵,Drug
12007,西比灵,Drug
12008,维格列汀,Drug
12009,雷贝拉唑,Drug
12010,诺和平,Drug
12011,倍博特 ,Drug
12012,维生素C,Drug
12013,辛伐他汀,Drug
12014,赛治,Drug
12015,拜阿司匹林,Drug
12016,洁维乐,Drug
12017,安达唐,Drug
